lncRNA,mature_mirna_id,clipExpNum
NEAT1,hsa-miR-509-3p,4
NEAT1,hsa-miR-5010-5p,4
NEAT1,hsa-miR-4525,4
NEAT1,hsa-miR-516b-5p,3
NEAT1,hsa-miR-141-3p,3
NEAT1,hsa-miR-200a-3p,3
NEAT1,hsa-miR-582-3p,3
NEAT1,hsa-miR-545-3p,3
NEAT1,hsa-miR-2681-5p,6
NEAT1,hsa-miR-1197,3
NEAT1,hsa-miR-5000-3p,3
NEAT1,hsa-miR-4436a,1
NEAT1,hsa-miR-152-3p,6
NEAT1,hsa-miR-148a-3p,6
NEAT1,hsa-miR-148b-3p,6
NEAT1,hsa-miR-889-3p,7
NEAT1,hsa-miR-452-5p,8
NEAT1,hsa-miR-4676-3p,8
NEAT1,hsa-miR-892c-3p,8
NEAT1,hsa-miR-33a-5p,6
NEAT1,hsa-miR-33b-5p,6
NEAT1,hsa-miR-125a-5p,4
NEAT1,hsa-miR-125b-5p,3
NEAT1,hsa-miR-4319,3
NEAT1,hsa-miR-516b-5p,17
NEAT1,hsa-miR-514a-5p,17
NEAT1,hsa-miR-320a,18
NEAT1,hsa-miR-320b,18
NEAT1,hsa-miR-320c,18
NEAT1,hsa-miR-4429,18
NEAT1,hsa-miR-320d,18
NEAT1,hsa-miR-6509-5p,18
NEAT1,hsa-miR-1185-5p,13
NEAT1,hsa-miR-877-5p,13
NEAT1,hsa-miR-217,5
NEAT1,hsa-miR-6807-3p,5
NEAT1,hsa-miR-370-5p,5
NEAT1,hsa-miR-377-3p,3
NEAT1,hsa-miR-3144-3p,5
NEAT1,hsa-miR-642b-3p,11
NEAT1,hsa-miR-642a-3p,11
NEAT1,hsa-miR-128-3p,8
NEAT1,hsa-miR-3681-3p,8
NEAT1,hsa-miR-216a-3p,8
NEAT1,hsa-miR-4436a,7
NEAT1,hsa-miR-5000-3p,7
NEAT1,hsa-miR-5009-3p,14
NEAT1,hsa-miR-374a-5p,23
NEAT1,hsa-miR-374b-5p,23
NEAT1,hsa-miR-885-5p,22
NEAT1,hsa-miR-539-3p,13
NEAT1,hsa-miR-485-3p,13
NEAT1,hsa-miR-877-5p,2
NEAT1,hsa-miR-382-5p,5
NEAT1,hsa-miR-1252-5p,6
NEAT1,hsa-miR-654-3p,6
NEAT1,hsa-miR-101-3p,5
NEAT1,hsa-miR-3194-3p,7
NEAT1,hsa-miR-326,6
NEAT1,hsa-miR-330-5p,5
NEAT1,hsa-miR-2278,9
NEAT1,hsa-miR-335-5p,8
NEAT1,hsa-miR-455-5p,5
NEAT1,hsa-miR-3150b-3p,17
NEAT1,hsa-miR-4784,17
NEAT1,hsa-miR-2681-5p,20
NEAT1,hsa-miR-4664-3p,7
NEAT1,hsa-miR-452-5p,2
NEAT1,hsa-miR-4676-3p,1
NEAT1,hsa-miR-892c-3p,1
NEAT1,hsa-miR-1180-5p,4
NEAT1,hsa-miR-7114-3p,4
NEAT1,hsa-miR-1286,4
NEAT1,hsa-miR-330-5p,7
NEAT1,hsa-miR-514a-5p,7
NEAT1,hsa-miR-326,7
NEAT1,hsa-miR-186-5p,11
NEAT1,hsa-miR-384,8
NEAT1,hsa-miR-5688,2
NEAT1,hsa-miR-495-3p,2
NEAT1,hsa-miR-483-3p,15
NEAT1,hsa-miR-345-3p,6
NEAT1,hsa-miR-218-5p,4
NEAT1,hsa-miR-196a-5p,9
NEAT1,hsa-miR-196b-5p,9
NEAT1,hsa-let-7g-5p,9
NEAT1,hsa-let-7a-5p,9
NEAT1,hsa-let-7b-5p,9
NEAT1,hsa-let-7c-5p,9
NEAT1,hsa-let-7e-5p,9
NEAT1,hsa-let-7f-5p,9
NEAT1,hsa-let-7d-5p,9
NEAT1,hsa-miR-98-5p,9
NEAT1,hsa-let-7i-5p,9
NEAT1,hsa-miR-4458,9
NEAT1,hsa-miR-519c-5p,10
NEAT1,hsa-miR-523-5p,10
NEAT1,hsa-miR-518e-5p,10
NEAT1,hsa-miR-522-5p,10
NEAT1,hsa-miR-519a-5p,10
NEAT1,hsa-miR-519b-5p,10
NEAT1,hsa-miR-4500,9
NEAT1,hsa-miR-518f-5p,10
NEAT1,hsa-miR-526a,10
NEAT1,hsa-miR-520c-5p,10
NEAT1,hsa-miR-518d-5p,10
NEAT1,hsa-miR-510-5p,15
NEAT1,hsa-miR-3139,17
NEAT1,hsa-miR-708-5p,16
NEAT1,hsa-miR-28-5p,16
NEAT1,hsa-miR-668-3p,14
NEAT1,hsa-miR-802,11
NEAT1,hsa-miR-194-5p,11
NEAT1,hsa-miR-377-3p,4
NEAT1,hsa-miR-514a-3p,4
NEAT1,hsa-miR-514b-3p,4
NEAT1,hsa-miR-3918,3
NEAT1,hsa-miR-2467-3p,4
NEAT1,hsa-miR-330-3p,2
NEAT1,hsa-miR-1252-5p,3
NEAT1,hsa-miR-377-3p,1
NEAT1,hsa-miR-135b-5p,5
NEAT1,hsa-miR-135a-5p,5
NEAT1,hsa-miR-4731-5p,7
NEAT1,hsa-miR-485-5p,7
NEAT1,hsa-miR-4739,8
NEAT1,hsa-miR-6884-5p,7
NEAT1,hsa-miR-4756-5p,8
NEAT1,hsa-miR-1321,8
NEAT1,hsa-miR-193a-3p,4
NEAT1,hsa-miR-193b-3p,4
NEAT1,hsa-miR-3187-3p,4
NEAT1,hsa-miR-486-5p,9
NEAT1,hsa-miR-147a,14
NEAT1,hsa-miR-301a-3p,13
